number of rooms;area of apartment;number of floors;apartment floor;price;repair;bathroom;terrace;year of construction;elevator;garbage chute;type of house;district;street;concierge;distance
2;59.0;17;3;4520000.0;косметический;раздельный;балкон;2014;2;0;кирпичный;р-н Дзержинский;улица Кронштадтская, 33;1;1691.4777371893733
2;80.0;6;5;6900000.0;косметический;раздельный;лоджия;2004;0;0;кирпичный;р-н Свердловский;улица Чкалова, 38А;0;3018.792975267201
2;38.0;9;9;1400000.0;требует ремонта;раздельный;нет;1985;2;1;кирпичный;р-н Кировский;улица Ласьвинская, 76;1;17560.423154977896
1;51.0;19;10;3360000.0;дизайнерский;совмещенный;лоджия;2011;1;1;кирпичный;р-н Мотовилихинский;улица Ивана Франко, 42;1;9773.859315502006
2;53.0;10;8;4990000.0;евро;раздельный;лоджия;1992;1;1;кирпичный;р-н Дзержинский;Парковый проспект, 33;0;3700.677097872702
1;34.0;9;1;2790000.0;евро;раздельный;нет;1992;1;1;панельный;р-н Индустриальный;улица Норильская, 9;0;4863.326766193016
3;53.0;9;7;3670000.0;косметический;совмещенный;лоджия;1980;1;1;панельный;р-н Индустриальный;улица Архитектора Свиязева, 28А;0;5700.052155982728
1;34.0;10;5;2150000.0;косметический;раздельный;лоджия;2012;1;1;панельный;р-н Орджоникидзевский;улица Уссурийская, 27А;0;13774.36347153795
2;52.0;10;10;4200000.0;евро;раздельный;балкон;1998;1;0;панельный;р-н Дзержинский;улица Куфонина, 16;0;5492.224263790725
1;35.0;3;3;1700000.0;требует ремонта;совмещенный;балкон;1962;0;0;кирпичный;р-н Свердловский;улица Новосибирская, 18А;0;5277.121479236337
1;30.0;5;4;2350000.0;косметический;совмещенный;нет;1964;0;0;кирпичный;р-н Индустриальный;улица Советской Армии, 27В;0;3167.7235953770287
2;74.0;16;15;7500000.0;дизайнерский;раздельный;лоджия;2013;1;1;кирпичный;р-н Дзержинский;шоссе Космонавтов, 86А;1;1930.5558815328432
1;42.0;10;4;4100000.0;косметический;совмещенный;балкон;2006;1;0;кирпичный;р-н Мотовилихинский;бульвар Гагарина, 66А;0;3790.92411873304
3;84.0;10;7;6600000.0;евро;раздельный;лоджия;2003;1;0;кирпичный;р-н Свердловский;улица Рабоче-Крестьянская, 6;0;2699.2156572803865
1;26.0;5;1;1250000.0;косметический;совмещенный;нет;1987;0;0;кирпичный;р-н Орджоникидзевский;улица Героя Васькина, 11;1;16045.344916491258
2;54.0;9;7;3600000.0;требует ремонта;раздельный;лоджия;1972;1;1;кирпичный;р-н Ленинский;улица Луначарского, 90;0;526.3080773929976
3;61.0;5;3;2900000.0;евро;совмещенный;балкон;1973;0;0;панельный;р-н Мотовилихинский;улица Ивана Франко, 40/1;0;9707.606214914227
3;67.0;10;2;4100000.0;косметический;раздельный;балкон;1988;1;1;панельный;р-н Мотовилихинский;улица Юрша, 9А;0;4886.721727004575
3;74.0;10;6;4650000.0;косметический;раздельный;лоджия;1999;1;1;панельный;р-н Мотовилихинский;улица Пушкарская, 92;0;4459.204871017926
3;60.0;9;6;4450000.0;требует ремонта;раздельный;лоджия;1975;1;0;панельный;р-н Ленинский;улица Луначарского, 94;0;676.8529160135213
2;38.0;10;10;2750000.0;евро;раздельный;лоджия;2002;1;0;панельный;р-н Орджоникидзевский;улица Янаульская, 30;0;10802.022145534673
2;51.0;9;4;3500000.0;косметический;раздельный;лоджия;1970;1;1;кирпичный;р-н Мотовилихинский;улица Тургенева, 39;0;4125.664923846767
2;47.0;5;1;3100000.0;евро;совмещенный;балкон;1973;0;0;панельный;р-н Индустриальный;улица Сивкова, 3;0;3089.6330748087116
3;72.0;20;5;6300000.0;требует ремонта;несколько;лоджия;2013;1;0;кирпичный;р-н Свердловский;улица Белинского, 31;1;2814.7818377203175
3;68.0;9;7;6100000.0;косметический;совмещенный;балкон;1990;1;1;кирпичный;р-н Ленинский;улица Луначарского, 51;0;1215.413284087935
3;58.0;9;2;2900000.0;косметический;раздельный;балкон;1981;1;1;панельный;р-н Орджоникидзевский;улица Молдавская, 4;0;13609.387611599
4;127.0;10;9;11800000.0;косметический;несколько;лоджия;1996;1;1;кирпичный;р-н Индустриальный;улица Стахановская, 10А;1;2530.719603606261
3;79.0;14;2;7800000.0;косметический;раздельный;балкон;2008;1;0;кирпичный;р-н Свердловский;улица Краснофлотская, 28;1;1663.5754695075775
3;79.0;5;5;5100000.0;косметический;раздельный;балкон;1960;0;0;кирпичный;р-н Ленинский;улица Газеты Звезда, 14;0;1165.0528057171587
2;41.0;5;5;2750000.0;косметический;совмещенный;балкон;1959;0;0;кирпичный;р-н Мотовилихинский;улица Степана Разина, 75;0;3168.5982509048795
1;39.0;16;6;2900000.0;косметический;совмещенный;балкон;2009;1;1;монолитный;р-н Дзержинский;улица Хабаровская, 56;0;9223.468777999098
3;117.0;18;16;15000000.0;дизайнерский;несколько;нет;2005;1;0;кирпичный;р-н Свердловский;улица 25 Октября, 72;1;2372.2951021592194
2;49.0;10;10;4700000.0;евро;совмещенный;лоджия;1991;1;1;кирпичный;р-н Ленинский;улица Луначарского, 51;0;1215.413284087935
2;49.0;12;10;4050000.0;евро;совмещенный;лоджия;1981;2;1;панельный;р-н Дзержинский;Парковый проспект, 39;0;3387.6630011394573
2;43.0;5;5;3500000.0;евро;совмещенный;балкон;1961;0;0;кирпичный;р-н Свердловский;улица Лодыгина, 3А;0;4916.533521439176
1;34.0;2;1;1350000.0;косметический;совмещенный;нет;1959;0;0;кирпичный;р-н Свердловский;улица Кузбасская, 35;0;5304.224685093117
4;90.0;10;8;7800000.0;дизайнерский;несколько;балкон;1999;1;1;кирпичный;р-н Индустриальный;улица Мира, 74;1;4141.901651019999
3;68.0;10;6;5850000.0;дизайнерский;совмещенный;балкон;1998;1;1;кирпичный;р-н Свердловский;улица Максима Горького, 64;0;2151.195532657802
1;20.0;26;10;2370000.0;евро;совмещенный;лоджия;2021;1;0;монолитный;р-н Кировский;улица Буксирная, 10;1;11438.17466002151
1;33.0;10;5;3275000.0;косметический;раздельный;балкон;2005;1;0;панельный;р-н Индустриальный;проспект Декабристов, 23;0;4021.5109290551436
3;85.0;9;8;4750000.0;евро;совмещенный;лоджия;1986;1;1;панельный;р-н Мотовилихинский;улица Старцева, 5;0;5213.860697378696
2;56.0;10;3;3350000.0;косметический;раздельный;лоджия;1999;1;1;панельный;р-н Мотовилихинский;улица Свободы, 21А;0;6142.583722671615
1;42.0;16;5;3250000.0;косметический;раздельный;лоджия;1993;1;1;кирпичный;р-н Свердловский;улица Солдатова, 42/2;1;3949.204137825814
1;34.0;9;1;2850000.0;евро;раздельный;нет;1983;1;1;панельный;р-н Индустриальный;улица Милиционера Власова, 17к5;0;6022.867744677678
2;45.0;5;5;2000000.0;требует ремонта;раздельный;балкон;1974;0;0;панельный;р-н Орджоникидзевский;улица Академика Веденеева, 53;0;14339.652642888359
2;46.0;25;14;4440000.0;косметический;совмещенный;лоджия;2019;1;0;монолитный;р-н Свердловский;улица Чернышевского, 39;1;2986.099008313001
4;140.0;12;5;14500000.0;евро;несколько;лоджия;2007;1;0;кирпичный;р-н Свердловский;улица Сибирская, 46;1;2062.139106914731
2;50.0;19;12;3290000.0;косметический;совмещенный;балкон;2016;1;1;панельный;р-н Орджоникидзевский;улица Маршала Толбухина, 23;1;11082.676980171082
2;84.0;9;8;8000000.0;дизайнерский;раздельный;балкон;2007;1;0;кирпичный;р-н Индустриальный;улица Мира, 8Б;1;2968.5090831255006
1;44.0;25;6;5070000.0;дизайнерский;совмещенный;балкон;2017;3;0;монолитный;р-н Свердловский;улица Революции, 24;1;3206.672942263179
2;57.0;13;12;6500000.0;дизайнерский;раздельный;лоджия;2008;1;0;монолитный;р-н Дзержинский;улица Василия Каменского, 24;1;2895.1562653768333
2;45.0;17;7;4080000.0;косметический;совмещенный;лоджия;2021;1;0;монолитный;р-н Дзержинский;улица Овчинникова, 15А;1;1775.5333178537358
2;44.0;9;7;3800000.0;косметический;совмещенный;лоджия;1983;1;1;панельный;р-н Дзержинский;улица Куфонина, 13;0;5376.924292675276
2;77.0;10;6;4300000.0;косметический;раздельный;лоджия;2006;1;1;монолитный;р-н Кировский;улица Кировоградская, 6;0;16611.407406492475
3;94.0;25;22;7990000.0;дизайнерский;несколько;балкон;2012;2;0;монолитный;р-н Индустриальный;улица Космонавта Беляева, 40В;1;5451.214013707145
4;196.0;6;4;15800000.0;дизайнерский;несколько;лоджия;2001;1;1;кирпичный;р-н Кировский;улица Кировоградская, 46;1;15584.653368095816
2;41.0;5;1;2300000.0;косметический;совмещенный;балкон;1968;0;0;кирпичный;р-н Дзержинский;улица Сочинская, 6;0;6628.4645860078945
1;20.0;9;9;1600000.0;косметический;совмещенный;балкон;1979;1;1;кирпичный;р-н Свердловский;улица Солдатова, 35;0;4244.898045953096
1;29.0;17;8;3500000.0;дизайнерский;совмещенный;нет;2014;1;0;монолитный;р-н Ленинский;улица Екатерининская, 122;1;491.78693159152397
3;48.0;5;2;3800000.0;евро;совмещенный;балкон;1966;0;0;панельный;р-н Дзержинский;улица Голева, 3;0;1282.4406384646916
2;56.0;19;8;4990000.0;косметический;раздельный;лоджия;2013;1;0;монолитный;р-н Свердловский;улица Чернышевского, 15Г;1;3178.430355088483
1;35.0;9;1;3250000.0;косметический;раздельный;лоджия;1980;1;1;кирпичный;р-н Индустриальный;улица Стахановская, 6;0;2580.091351577037
3;56.0;5;2;3390000.0;косметический;совмещенный;балкон;1965;0;0;кирпичный;р-н Индустриальный;улица Мира, 16;0;21650.140431223972
1;31.0;5;5;2400000.0;евро;совмещенный;нет;1962;0;0;кирпичный;р-н Свердловский;улица Бородинская, 26;0;4916.8724338691045
3;57.0;5;1;2100000.0;косметический;совмещенный;нет;1963;0;0;блочный;р-н Орджоникидзевский;улица Репина, 2А;0;12923.494256554653
3;94.0;25;22;7990000.0;дизайнерский;несколько;балкон;2012;2;0;монолитный;р-н Индустриальный;улица Космонавта Беляева, 40В;1;5451.214013707145
4;163.0;25;18;16990000.0;дизайнерский;несколько;нет;2009;2;1;монолитный;р-н Свердловский;улица Чернышевского, 15А;1;2913.807381287377
2;43.0;9;7;3500000.0;косметический;раздельный;лоджия;1968;1;1;кирпичный;р-н Мотовилихинский;улица Крупской, 79;0;4384.241348128732
2;55.0;17;5;2890000.0;косметический;совмещенный;балкон;2013;1;1;панельный;р-н Орджоникидзевский;улица Уссурийская, 25;0;13911.409011804859
3;67.0;10;9;3650000.0;евро;раздельный;балкон;1991;1;1;панельный;р-н Свердловский;улица Полазненская, 26;0;4671.933082045734
1;32.0;5;4;1800000.0;косметический;раздельный;балкон;1967;0;0;кирпичный;р-н Орджоникидзевский;улица Писарева, 30;0;12210.144852953545
1;35.0;10;8;3000000.0;косметический;раздельный;лоджия;1972;1;1;панельный;р-н Дзержинский;улица Куфонина, 28/1;0;5681.021859730481
3;60.0;9;1;3400000.0;дизайнерский;совмещенный;лоджия;1984;1;1;панельный;р-н Мотовилихинский;улица Сигаева, 6;0;9222.378820172105
3;60.0;9;7;3800000.0;требует ремонта;раздельный;балкон;1978;1;1;панельный;р-н Дзержинский;улица Подлесная, 23/1;0;4588.36578435731
2;44.0;5;1;3080000.0;косметический;совмещенный;нет;1967;0;0;кирпичный;р-н Свердловский;улица Малая, ул.,;0;6436.326156202696
3;85.0;17;5;6410000.0;евро;раздельный;лоджия;2009;1;0;кирпичный;р-н Свердловский;улица Новосибирская, 13;1;5062.139459937885
1;34.0;10;4;3080000.0;косметический;раздельный;лоджия;1999;1;1;панельный;р-н Дзержинский;улица Куфонина, 22;0;5579.034607030109
1;31.0;9;7;3050000.0;евро;совмещенный;лоджия;1987;1;1;кирпичный;р-н Дзержинский;улица Василия Каменского, 2А;0;3677.8914511565717
1;31.0;9;7;3050000.0;евро;совмещенный;лоджия;1987;1;1;кирпичный;р-н Дзержинский;улица Василия Каменского, 2А;0;3677.8914511565717
3;60.0;9;7;3599000.0;косметический;раздельный;лоджия;1971;1;1;кирпичный;р-н Индустриальный;улица Космонавта Беляева, 47;0;5797.766071243866
3;61.0;5;1;3200000.0;косметический;раздельный;балкон;1972;0;0;панельный;р-н Индустриальный;улица Архитектора Свиязева, 50/2;0;6204.772641963392
1;30.0;3;1;1920000.0;косметический;совмещенный;нет;1961;0;0;кирпичный;р-н Мотовилихинский;улица Лядовская, 119;0;8268.882822516085
2;48.0;25;9;5000000.0;дизайнерский;совмещенный;балкон;2017;3;0;монолитный;р-н Свердловский;улица Революции, 48А;1;1516.9765669668882
3;67.0;9;3;4700000.0;косметический;раздельный;балкон;1988;1;0;панельный;р-н Мотовилихинский;улица Уинская, 18;0;4893.885853700741
2;57.0;16;14;5500000.0;косметический;раздельный;лоджия;2015;1;1;монолитный;р-н Мотовилихинский;улица Крупской, 67;0;4097.07233959667
1;41.0;23;8;3800000.0;косметический;совмещенный;балкон;2021;2;0;монолитный;р-н Индустриальный;улица Комбайнёров, 43;1;4511.62326184848
3;52.0;9;3;3400000.0;требует ремонта;раздельный;лоджия;1973;1;1;кирпичный;р-н Дзержинский;улица Челюскинцев, 19;0;2446.0867895307656
3;74.0;4;3;5175000.0;евро;совмещенный;балкон;1959;0;0;кирпичный;р-н Индустриальный;улица Мира, 55;0;4696.122523398684
3;58.0;5;1;3335000.0;косметический;совмещенный;нет;1964;0;0;панельный;р-н Индустриальный;улица Братьев Игнатовых, 17;0;4073.0271369353377
1;44.0;25;4;3980000.0;косметический;совмещенный;лоджия;2019;2;0;монолитный;р-н Свердловский;улица Героев Хасана, 11Б;1;2922.7241569110356
2;54.0;7;2;4950000.0;косметический;раздельный;лоджия;2000;1;1;кирпичный;р-н Ленинский;улица Советская, 39;0;22490.55196426932
1;29.0;5;1;2500000.0;евро;совмещенный;нет;1963;0;0;кирпичный;р-н Мотовилихинский;улица Дружбы, 13;0;3879.3060556986175
2;56.0;9;8;3600000.0;требует ремонта;раздельный;лоджия;1991;1;1;панельный;р-н Мотовилихинский;улица Уинская, 8;0;4779.8715106632835
1;36.0;19;3;2950000.0;косметический;совмещенный;лоджия;2013;1;0;блочный;р-н Свердловский;улица Самаркандская, 147;1;4871.9893132911875
3;60.0;25;21;5199000.0;косметический;совмещенный;лоджия;2020;1;0;монолитный;р-н Свердловский;улица Василия Татищева, 6;1;3091.647054785356
2;47.0;5;4;3070000.0;косметический;раздельный;балкон;1969;0;0;кирпичный;р-н Дзержинский;улица Монастырская, 117;0;934.4137869669629
3;58.0;9;5;3770000.0;косметический;раздельный;балкон;1977;1;1;панельный;р-н Дзержинский;улица Комиссара Пожарского, 12;0;4402.971719049354
2;42.0;5;1;2370000.0;косметический;совмещенный;нет;1962;0;0;панельный;р-н Дзержинский;улица Хабаровская, 163;0;8971.016572384602
2;43.0;5;3;2900000.0;косметический;совмещенный;балкон;1959;0;0;кирпичный;р-н Индустриальный;улица Одоевского, 28;0;4635.762889495262
2;55.0;10;3;3500000.0;евро;раздельный;лоджия;2002;1;1;панельный;р-н Орджоникидзевский;улица Янаульская, 30;0;10802.022145534673
1;35.0;14;11;3500000.0;евро;раздельный;лоджия;1985;4;1;кирпичный;р-н Дзержинский;улица Плеханова, 63А;1;1663.0681098936075
3;81.0;7;1;5600000.0;евро;раздельный;лоджия;2006;1;1;панельный;р-н Дзержинский;улица Транспортная, 13;0;5868.615691996226
3;57.0;9;8;3500000.0;требует ремонта;раздельный;балкон;1978;1;1;панельный;р-н Индустриальный;улица Чердынская, 18;0;5145.142717057842
3;42.0;5;5;3100000.0;евро;совмещенный;балкон;1966;0;0;кирпичный;р-н Мотовилихинский;улица Ушинского, 9;0;4034.888757179594
1;38.0;10;4;2900000.0;косметический;раздельный;лоджия;2014;1;1;панельный;р-н Дзержинский;улица Маяковского, 41А;0;6600.043984073516
2;43.0;9;3;2950000.0;косметический;раздельный;лоджия;1978;1;1;панельный;р-н Свердловский;улица Лодыгина, 46к2;0;4882.708093086754
1;34.0;10;6;3150000.0;косметический;раздельный;лоджия;1991;1;1;панельный;р-н Мотовилихинский;улица Юрша, 21;0;4678.64642652057
1;37.0;25;21;3730000.0;косметический;совмещенный;балкон;2017;2;0;монолитный;р-н Индустриальный;улица Милиционера Власова, 4А;1;6216.360026251474
4;163.0;25;18;16990000.0;дизайнерский;несколько;нет;2009;2;1;монолитный;р-н Свердловский;улица Чернышевского, 15А;1;2913.807381287377
1;44.0;25;4;3980000.0;косметический;совмещенный;лоджия;2019;2;0;монолитный;р-н Свердловский;улица Героев Хасана, 11Б;1;2922.7241569110356
3;89.0;25;14;5950000.0;евро;раздельный;лоджия;2016;2;0;монолитный;р-н Мотовилихинский;улица Уинская, 41;1;5865.593739678805
1;44.0;20;13;4400000.0;косметический;совмещенный;лоджия;2018;2;0;блочный;р-н Свердловский;улица Пушкина, 6;1;2263.211962079824
1;26.0;15;6;2150000.0;евро;совмещенный;нет;2015;2;0;кирпичный;р-н Свердловский;улица Куйбышева, 109А;1;2998.357613862765
1;31.0;5;4;2630000.0;дизайнерский;совмещенный;балкон;1964;0;0;панельный;р-н Индустриальный;улица Мира, 66А;0;3795.416045046354
1;32.0;2;1;1777777.0;дизайнерский;совмещенный;нет;1968;0;0;кирпичный;р-н Свердловский;улица Анвара Гатауллина, 15;0;5394.93240493503
2;52.0;17;15;6200000.0;дизайнерский;совмещенный;лоджия;2008;1;0;блочный;р-н Свердловский;улица Рабоче-Крестьянская, 25;1;2757.7571592067848
2;44.0;5;5;2950000.0;косметический;совмещенный;балкон;1950;0;0;кирпичный;р-н Мотовилихинский;улица Ушинского, 7;0;4096.88150014108
1;32.0;10;3;3200000.0;косметический;совмещенный;лоджия;2008;0;1;монолитный;р-н Мотовилихинский;улица Пономарёва, 79;0;4892.240223109743
2;42.0;5;1;2590000.0;косметический;совмещенный;нет;1964;0;0;кирпичный;р-н Мотовилихинский;улица Техническая, 5/2;0;3940.4411588487264
1;37.0;17;3;3400000.0;косметический;совмещенный;лоджия;2021;1;0;монолитный;р-н Индустриальный;улица Космонавта Беляева, 61В;1;6460.673319485657
1;31.0;25;8;2650000.0;евро;совмещенный;лоджия;2021;0;0;монолитный;р-н Кировский;улица Оханская, 29;1;12178.383215112446
1;30.0;5;5;2430000.0;косметический;совмещенный;нет;1963;0;0;кирпичный;р-н Мотовилихинский;улица Крупской, 51А;0;3550.0815091446434
2;70.0;25;10;6050000.0;евро;раздельный;лоджия;2018;1;1;монолитный;р-н Дзержинский;улица Окулова, 62;1;1374.5614564605255
1;39.0;5;3;2500000.0;косметический;раздельный;балкон;1959;0;0;кирпичный;р-н Мотовилихинский;улица Лебедева, 37;0;3628.124387043274
2;43.0;3;1;2300000.0;косметический;совмещенный;нет;1959;0;0;кирпичный;р-н Индустриальный;улица Космонавта Леонова, 24А;0;5306.262762088866
1;35.0;10;2;2200000.0;косметический;совмещенный;лоджия;2014;1;1;панельный;р-н Орджоникидзевский;улица Менжинского, 36;0;15355.39718795248
2;44.0;9;3;2650000.0;косметический;раздельный;лоджия;1975;1;1;панельный;р-н Орджоникидзевский;улица Маршала Толбухина, 12;0;11339.005116801864
2;44.0;5;4;3420000.0;косметический;раздельный;балкон;1966;0;0;панельный;р-н Дзержинский;улица Голева, 5;0;1317.838957309927
2;34.0;10;1;2550000.0;евро;раздельный;нет;2000;1;1;панельный;р-н Мотовилихинский;улица Сигаева, 12;0;8889.442621556414
1;14.0;5;5;890000.0;требует ремонта;совмещенный;нет;1989;0;0;панельный;р-н Мотовилихинский;улица Ивана Франко, 40/1;0;9707.606214914227
2;57.0;16;3;3300000.0;косметический;раздельный;лоджия;2009;1;0;монолитный;р-н Орджоникидзевский;улица Александра Щербакова, 43А;1;16230.856625444982
1;31.0;5;5;2055000.0;косметический;совмещенный;нет;1971;0;0;кирпичный;р-н Мотовилихинский;улица Николая Быстрых, 11;0;4609.907575811876
1;35.0;5;2;2650000.0;косметический;совмещенный;балкон;1989;0;0;панельный;р-н Свердловский;улица Чернышевского, 21А;0;2979.7138251629663
1;30.0;5;4;2350000.0;косметический;раздельный;балкон;1970;0;0;панельный;р-н Свердловский;улица Солдатова, 3;0;5145.794691386911
3;55.0;5;4;4100000.0;евро;совмещенный;балкон;1964;0;0;кирпичный;р-н Индустриальный;шоссе Космонавтов, 121;0;2908.6399635740686
3;58.0;5;1;4390000.0;евро;совмещенный;нет;1975;0;0;кирпичный;р-н Свердловский;улица Народовольческая, 32;0;2866.9769277707674
2;42.0;5;4;3750000.0;косметический;раздельный;балкон;1966;0;0;панельный;р-н Дзержинский;улица Голева, 3;0;1282.4406384646916
1;45.0;16;5;3899000.0;косметический;совмещенный;балкон;2013;1;1;монолитный;р-н Свердловский;улица Краснофлотская, 11;0;1281.3013647398493
3;94.0;20;18;9800000.0;косметический;несколько;балкон;2014;1;0;монолитный;р-н Свердловский;улица Белинского, 31;1;2814.7818377203175
3;68.0;9;9;5995000.0;косметический;раздельный;лоджия;1983;1;1;панельный;р-н Свердловский;улица 25 Октября, 68;1;2320.291937901699
2;55.0;3;1;2349999.0;косметический;раздельный;нет;1958;0;0;кирпичный;р-н Мотовилихинский;улица Инженерная, 18;0;4542.108674029743
1;25.0;5;1;1600000.0;косметический;совмещенный;нет;1986;0;0;панельный;р-н Кировский;улица Волгодонская, 9;0;12749.221782285667
1;42.0;8;5;4850000.0;дизайнерский;совмещенный;лоджия;1995;1;0;кирпичный;р-н Ленинский;улица Газеты Звезда, 8;1;1190.2690231844774
1;30.0;5;1;2400000.0;косметический;совмещенный;нет;1960;0;0;кирпичный;р-н Индустриальный;улица Семченко, 23;0;3806.289353048836
2;54.0;10;3;4290000.0;дизайнерский;раздельный;лоджия;1992;1;1;кирпичный;р-н Дзержинский;Парковый проспект, 35;0;3617.4587691337215
3;62.0;5;2;3000000.0;требует ремонта;раздельный;балкон;1979;0;0;кирпичный;р-н Индустриальный;улица Экскаваторная, 58;0;7078.84579492592
1;36.0;16;4;2700000.0;евро;совмещенный;лоджия;2016;1;1;монолитный;р-н Кировский;улица Калинина, 46;0;23272.97199566279
1;36.0;9;4;3550000.0;косметический;раздельный;лоджия;1987;1;1;панельный;р-н Свердловский;улица Народовольческая, 39;0;3032.4497912337747
3;67.0;9;1;3550000.0;косметический;раздельный;нет;1985;1;1;панельный;р-н Индустриальный;проспект Декабристов, 29;0;4039.5411598536175
4;61.0;5;5;3300000.0;евро;совмещенный;балкон;1972;0;0;кирпичный;р-н Дзержинский;улица Сочинская, 8;0;6674.761942418286
4;156.0;6;3;12100000.0;евро;несколько;лоджия;2004;1;1;кирпичный;р-н Свердловский;улица Чкалова, 38А;0;3018.792975267201
2;62.0;25;24;5400000.0;дизайнерский;раздельный;лоджия;2009;2;0;монолитный;р-н Индустриальный;шоссе Космонавтов, 213;1;6022.129999371758
2;43.0;9;8;3100000.0;требует ремонта;раздельный;лоджия;1984;1;1;панельный;р-н Мотовилихинский;улица Хрустальная, 8;0;4951.10205184041
1;44.0;17;2;3650000.0;косметический;совмещенный;лоджия;2016;1;0;кирпичный;р-н Индустриальный;улица Капитана Гастелло, 10;1;2239.3089996305157
1;44.0;25;4;3980000.0;косметический;совмещенный;лоджия;2019;2;0;монолитный;р-н Свердловский;улица Героев Хасана, 11Б;1;2922.7241569110356
2;44.0;26;6;4430000.0;косметический;совмещенный;лоджия;2020;1;0;монолитный;р-н Свердловский;улица Чернышевского, 39;1;2986.099008313001
3;64.0;10;1;5249995.0;евро;раздельный;нет;1993;1;1;панельный;р-н Индустриальный;улица Мира, 115;0;6306.644045346485
2;43.0;3;2;2250000.0;требует ремонта;совмещенный;балкон;1962;0;0;кирпичный;р-н Дзержинский;улица Маяковского, 46А;0;6792.482129533168
2;57.0;17;10;4450000.0;косметический;раздельный;лоджия;2011;1;0;кирпичный;р-н Свердловский;улица Холмогорская, 2Е;1;4410.902690378007
2;44.0;9;2;4000000.0;дизайнерский;совмещенный;лоджия;1975;1;1;панельный;р-н Дзержинский;улица Монастырская, 123;0;1162.1937629195504
3;70.0;19;10;5500000.0;косметический;раздельный;балкон;2021;1;0;монолитный;р-н Индустриальный;улица Космонавта Беляева, 61В;1;6460.673319485657
2;50.0;8;1;4900000.0;требует ремонта;раздельный;лоджия;1994;1;0;кирпичный;р-н Ленинский;улица Екатерининская, 166А;0;323.6167662557067
1;38.0;10;3;2950000.0;косметический;раздельный;лоджия;2005;1;1;панельный;р-н Дзержинский;улица Костычева, 13;0;6885.404926993601
1;37.0;9;4;2850000.0;косметический;совмещенный;лоджия;1987;1;1;кирпичный;р-н Дзержинский;улица Василия Каменского, 2А;0;3677.8914511565717
3;90.0;20;3;6550000.0;требует ремонта;несколько;лоджия;2018;2;1;монолитный;р-н Свердловский;улица Елькина, 39;1;2139.4557997097163
4;85.0;16;14;5270000.0;косметический;раздельный;лоджия;1992;1;0;панельный;р-н Кировский;улица Маршала Рыбалко, 117/2;1;14343.270846043879
3;58.0;5;5;3950000.0;требует ремонта;раздельный;балкон;1979;0;0;кирпичный;р-н Ленинский;улица Луначарского, 23;0;1780.254521944828
3;56.0;14;7;4500000.0;требует ремонта;раздельный;лоджия;1982;1;1;кирпичный;р-н Индустриальный;улица Стахановская, 29;1;2661.15187533336
1;45.0;17;13;3300000.0;евро;совмещенный;балкон;2008;1;0;кирпичный;р-н Кировский;улица Светлогорская, 17;1;11905.623082225602
2;44.0;5;4;3600000.0;косметический;совмещенный;балкон;1962;0;0;кирпичный;р-н Индустриальный;улица Комбайнёров, 36;0;4500.014820208134
1;29.0;4;2;2600000.0;косметический;совмещенный;нет;1946;0;0;кирпичный;р-н Ленинский;улица Ленина, 15;0;1732.6416718978935
1;22.0;9;4;1900000.0;косметический;совмещенный;балкон;1983;1;1;кирпичный;р-н Свердловский;улица Клары Цеткин, 27;0;2237.0786610652212
1;30.0;5;5;1750000.0;косметический;раздельный;балкон;1970;0;0;кирпичный;р-н Кировский;улица Маршала Рыбалко, 109;0;14591.067621783157
2;46.0;5;3;3500000.0;дизайнерский;совмещенный;балкон;1961;0;0;кирпичный;р-н Индустриальный;улица Мира, 49;0;4524.66342804908
2;46.0;5;5;3150000.0;евро;совмещенный;балкон;1965;0;0;панельный;р-н Мотовилихинский;улица Старцева, 45;0;4793.187818650542
1;32.0;5;5;2600000.0;косметический;совмещенный;лоджия;1969;0;0;кирпичный;р-н Дзержинский;улица Академика Вавилова, 17;0;2365.389653055205
1;18.0;5;1;1080000.0;косметический;совмещенный;нет;1976;0;1;кирпичный;р-н Свердловский;улица Куйбышева, 143;0;4853.270923100483
2;53.0;10;10;3150000.0;косметический;раздельный;балкон;2011;1;1;панельный;р-н Орджоникидзевский;улица Генерала Черняховского, 57;0;13908.766543611704
3;60.0;10;5;3900000.0;косметический;раздельный;балкон;1990;1;0;кирпичный;р-н Ленинский;улица Пушкина, 116Б;0;1023.9168049306764
1;30.0;5;1;2200000.0;косметический;раздельный;нет;1971;0;0;панельный;р-н Индустриальный;проспект Декабристов, 16;0;3478.779893704699
1;32.0;18;3;3500000.0;косметический;совмещенный;лоджия;2018;2;0;панельный;р-н Свердловский;улица Чернышевского, 17А;1;3077.5236414466835
1;34.0;10;2;2200000.0;косметический;раздельный;балкон;1990;1;1;панельный;р-н Кировский;улица Липатова, 20;0;15606.020540242138
2;43.0;9;4;3650000.0;косметический;раздельный;балкон;1981;1;1;панельный;р-н Дзержинский;Парковый проспект, 41А;0;3308.1226584638525
4;150.0;10;8;8690000.0;евро;несколько;лоджия;2002;1;1;панельный;р-н Свердловский;улица Чернышевского, 19А;1;2846.2205444366805
2;43.0;5;2;3100000.0;косметический;совмещенный;балкон;1965;0;0;панельный;р-н Мотовилихинский;улица Крупской, 82;0;4452.066337679751
1;30.0;4;4;1750000.0;косметический;совмещенный;нет;1962;0;0;кирпичный;р-н Дзержинский;улица Транспортная, 27;0;6302.40277561934
